state,hdi
Connecticut,0.962
Massachusetts,0.961
New Jersey,0.961
"Washington, D.C.",0.96
Maryland,0.96
Hawaii,0.959
New York,0.959
New Hampshire,0.958
Minnesota,0.958
Rhode Island,0.958
California,0.958
Colorado,0.958
Virginia,0.957
Illinois,0.957
Vermont,0.955
Washington,0.955
Alaska,0.955
Delaware,0.953
Wisconsin,0.952
Michigan,0.951
Iowa,0.95
Pennsylvania,0.95
Nebraska,0.946
Kansas,0.941
Arizona,0.939
North Dakota,0.936
Oregon,0.935
Maine,0.932
Utah,0.932
Ohio,0.932
Georgia,0.928
Indiana,0.928
North Carolina,0.925
Texas,0.914
Missouri,0.912
Nevada,0.911
South Dakota,0.902
Florida,0.898
Wyoming,0.897
New Mexico,0.895
Idaho,0.89
Montana,0.885
South Carolina,0.871
Kentucky,0.82
Tennessee,0.816
Oklahoma,0.815
Alabama,0.809
Arkansas,0.803
Louisiana,0.801
West Virginia,0.8
Mississippi,0.799
