"","state","region","word_for_cola","pop"
"1","alabama","south","pop",TRUE
"2","alabama","south","pop",TRUE
"3","alabama","south","pop",TRUE
"4","alabama","south","pop",TRUE
"5","alabama","south","pop",TRUE
"6","alabama","south","pop",TRUE
"7","alabama","south","pop",TRUE
"8","alabama","south","pop",TRUE
"9","alabama","south","pop",TRUE
"10","alabama","south","pop",TRUE
"11","alabama","south","pop",TRUE
"12","alabama","south","pop",TRUE
"13","alabama","south","pop",TRUE
"14","alabama","south","pop",TRUE
"15","alabama","south","pop",TRUE
"16","alabama","south","pop",TRUE
"17","alabama","south","pop",TRUE
"18","alabama","south","pop",TRUE
"19","alabama","south","pop",TRUE
"20","alabama","south","pop",TRUE
"21","alabama","south","pop",TRUE
"22","alabama","south","pop",TRUE
"23","alabama","south","pop",TRUE
"24","alabama","south","pop",TRUE
"25","alabama","south","pop",TRUE
"26","alabama","south","pop",TRUE
"27","alabama","south","pop",TRUE
"28","alabama","south","pop",TRUE
"29","alabama","south","pop",TRUE
"30","alabama","south","pop",TRUE
"31","alabama","south","pop",TRUE
"32","alabama","south","pop",TRUE
"33","alabama","south","pop",TRUE
"34","alabama","south","pop",TRUE
"35","alabama","south","pop",TRUE
"36","alabama","south","pop",TRUE
"37","alabama","south","pop",TRUE
"38","alabama","south","pop",TRUE
"39","alabama","south","pop",TRUE
"40","alabama","south","pop",TRUE
"41","alabama","south","pop",TRUE
"42","alabama","south","pop",TRUE
"43","alabama","south","pop",TRUE
"44","alabama","south","pop",TRUE
"45","alabama","south","pop",TRUE
"46","alabama","south","pop",TRUE
"47","alabama","south","pop",TRUE
"48","alabama","south","pop",TRUE
"49","alabama","south","pop",TRUE
"50","alabama","south","pop",TRUE
"51","alabama","south","pop",TRUE
"52","alabama","south","pop",TRUE
"53","alabama","south","pop",TRUE
"54","alabama","south","pop",TRUE
"55","alabama","south","pop",TRUE
"56","alabama","south","pop",TRUE
"57","alabama","south","pop",TRUE
"58","alabama","south","pop",TRUE
"59","alabama","south","pop",TRUE
"60","alabama","south","pop",TRUE
"61","alabama","south","pop",TRUE
"62","alabama","south","pop",TRUE
"63","alabama","south","pop",TRUE
"64","alabama","south","pop",TRUE
"65","alabama","south","pop",TRUE
"66","alabama","south","pop",TRUE
"67","alabama","south","pop",TRUE
"68","alabama","south","pop",TRUE
"69","alabama","south","pop",TRUE
"70","alabama","south","pop",TRUE
"71","alabama","south","pop",TRUE
"72","alabama","south","pop",TRUE
"73","alabama","south","pop",TRUE
"74","alabama","south","pop",TRUE
"75","alabama","south","pop",TRUE
"76","alabama","south","pop",TRUE
"77","alabama","south","pop",TRUE
"78","alabama","south","pop",TRUE
"79","alabama","south","pop",TRUE
"80","alabama","south","pop",TRUE
"81","alabama","south","pop",TRUE
"82","alabama","south","pop",TRUE
"83","alabama","south","pop",TRUE
"84","alabama","south","pop",TRUE
"85","alabama","south","pop",TRUE
"86","alabama","south","pop",TRUE
"87","alabama","south","pop",TRUE
"88","alabama","south","pop",TRUE
"89","alabama","south","pop",TRUE
"90","alabama","south","pop",TRUE
"91","alabama","south","pop",TRUE
"92","alabama","south","pop",TRUE
"93","alabama","south","pop",TRUE
"94","alabama","south","pop",TRUE
"95","alabama","south","pop",TRUE
"96","alabama","south","pop",TRUE
"97","alabama","south","pop",TRUE
"98","alabama","south","pop",TRUE
"99","alabama","south","pop",TRUE
"100","alabama","south","pop",TRUE
"101","alabama","south","pop",TRUE
"102","alabama","south","pop",TRUE
"103","alabama","south","pop",TRUE
"104","alabama","south","pop",TRUE
"105","alabama","south","pop",TRUE
"106","alabama","south","pop",TRUE
"107","alabama","south","pop",TRUE
"108","alabama","south","pop",TRUE
"109","alabama","south","pop",TRUE
"110","alabama","south","pop",TRUE
"111","alabama","south","pop",TRUE
"112","alabama","south","pop",TRUE
"113","alabama","south","pop",TRUE
"114","alabama","south","pop",TRUE
"115","alabama","south","pop",TRUE
"116","alabama","south","pop",TRUE
"117","alabama","south","pop",TRUE
"118","alabama","south","pop",TRUE
"119","alabama","south","pop",TRUE
"120","alabama","south","pop",TRUE
"121","alabama","south","pop",TRUE
"122","alabama","south","pop",TRUE
"123","alabama","south","pop",TRUE
"124","alabama","south","pop",TRUE
"125","alabama","south","pop",TRUE
"126","alabama","south","pop",TRUE
"127","alabama","south","pop",TRUE
"128","alabama","south","pop",TRUE
"129","alabama","south","pop",TRUE
"130","alabama","south","pop",TRUE
"131","alabama","south","pop",TRUE
"132","alabama","south","pop",TRUE
"133","alabama","south","pop",TRUE
"134","alabama","south","pop",TRUE
"135","alabama","south","pop",TRUE
"136","alabama","south","pop",TRUE
"137","alabama","south","pop",TRUE
"138","alabama","south","pop",TRUE
"139","alabama","south","pop",TRUE
"140","alabama","south","pop",TRUE
"141","alabama","south","pop",TRUE
"142","alabama","south","pop",TRUE
"143","alabama","south","pop",TRUE
"144","alabama","south","pop",TRUE
"145","alabama","south","pop",TRUE
"146","alabama","south","pop",TRUE
"147","alabama","south","pop",TRUE
