st_fips,st_year,st_state,st_stateabb,st_total,st_dem,st_rep,st_repshare,st_demshare,st_income,st_inc10k
1,1968,Alabama,AL,1050,197,147,0.427325577,0.572674394,11662.75684,1.16627574
2,1968,Alaska,AK,83,35,38,0.520547926,0.479452044,20388.44922,2.038844824
4,1968,Arizona,AZ,487,171,267,0.60958904,0.39041096,14864.88477,1.486488461
5,1968,Arkansas,AR,610,185,189,0.50534761,0.49465242,11124.08105,1.112408161
6,1968,California,CA,7252,3244,3468,0.516686559,0.483313471,19362.40039,1.936240077
8,1968,Colorado,CO,811,335,409,0.549731195,0.450268805,15724.20117,1.57242012
9,1968,Connecticut,CT,1256,622,557,0.472434253,0.527565718,20666.33789,2.066633701
10,1968,Delaware,DE,214,89,97,0.521505356,0.478494614,18857.92578,1.885792613
12,1968,Florida,FL,2188,677,887,0.567135572,0.432864457,15621.59668,1.562159657
13,1968,Georgia,GA,1250,334,380,0.532212913,0.467787117,13449.79297,1.344979286
15,1968,Hawaii,HI,236,141,91,0.392241389,0.607758641,19422.25391,1.942225337
16,1968,Idaho,ID,291,89,165,0.649606287,0.350393713,13847.38672,1.384738684
17,1968,Illinois,IL,4620,2040,2175,0.516014218,0.483985752,18562.9375,1.856293797
18,1968,Indiana,IN,2124,807,1068,0.569599986,0.430400014,15758.40332,1.575840354
19,1968,Iowa,IA,1168,477,619,0.56478101,0.43521899,15630.14648,1.563014627
20,1968,Kansas,KS,873,303,479,0.61253196,0.38746804,15176.97559,1.517697573
21,1968,Kentucky,KY,1056,398,462,0.537209332,0.462790698,12624.67773,1.262467742
22,1968,Louisiana,LA,1097,310,258,0.454225361,0.545774639,12346.79004,1.234678984
23,1968,Maine,ME,393,217,169,0.437823832,0.562176168,13385.66504,1.338566542
24,1968,Maryland,MD,1235,538,518,0.490530312,0.509469688,17938.75781,1.793875813
25,1968,Massachusetts,MA,2332,1469,767,0.34302327,0.656976759,17960.13281,1.796013236
